# producer=CAELIX
# when=2026-02-18T09:41:42
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09D_collidersg_kink_walls/20260218_094141 --collidersg --collidersg-scenario D --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.2,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[132,96,96],"vel":[-0.2,0.0,0.0],"phase":0.0}] --collidersg-steps 10000 --collidersg-log-every 1 --collidersg-track-r 14 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.05 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_094141
# experiment=09D_collidersg_kink_walls
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.05
# asset_sg_k=nan
# sg_k_inferred=0
# steps=10000
# log_every=1
# phi_abs_every=100
# track_r=14
# peak_thresh=0.001
# sprite_count=2
# scenario=D
# sprites_src=inline_json
# sprite_asset_h5=
# artefact=sg_collision_tracks
# scenario=D
# sprites_digest=11b1f712ce33
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# vel0_abs_max=0.172105
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
76,1,60.075,1.000,1.000,0.05287,0.00000,0.00000,0.795816,ALIVE,12.566370,0.840
76,2,130.925,1.000,1.000,-0.05310,0.00000,0.00001,0.795825,ALIVE,12.566370,0.840
77,1,60.078,1.000,1.000,0.05318,-0.00000,-0.00000,0.796929,ALIVE,12.566370,0.848
77,2,130.922,1.000,1.000,-0.05310,-0.00000,-0.00001,0.796939,ALIVE,12.566370,0.848
78,1,60.081,1.000,1.000,0.05348,0.00000,-0.00000,0.798028,ALIVE,12.566370,0.857
78,2,130.919,1.000,1.000,-0.05341,0.00000,0.00001,0.798038,ALIVE,12.566370,0.857
79,1,60.083,1.000,1.000,0.05371,0.00000,0.00000,0.799109,ALIVE,12.566370,0.865
79,2,130.917,1.000,1.000,-0.05371,-0.00000,-0.00000,0.799120,ALIVE,12.566370,0.865
80,1,60.086,1.000,1.000,0.05402,-0.00000,0.00000,0.800169,ALIVE,12.566370,0.874
80,2,130.914,1.000,1.000,-0.05402,0.00000,0.00000,0.800180,ALIVE,12.566370,0.874
81,1,60.089,1.000,1.000,0.05432,0.00000,-0.00000,0.801202,ALIVE,12.566370,0.882
81,2,130.911,1.000,1.000,-0.05432,0.00000,-0.00000,0.801214,ALIVE,12.566370,0.882
82,1,60.092,1.000,1.000,0.05455,0.00000,-0.00000,0.802205,ALIVE,12.566370,0.891
82,2,130.909,1.000,1.000,-0.05463,0.00000,0.00000,0.802218,ALIVE,12.566370,0.891
83,1,60.094,1.000,1.000,0.05493,-0.00000,0.00000,0.803174,ALIVE,12.566370,0.899
83,2,130.906,1.000,1.000,-0.05463,-0.00000,-0.00000,0.803188,ALIVE,12.566370,0.899
84,1,60.097,1.000,1.000,0.05516,0.00000,0.00000,0.804106,ALIVE,12.566370,0.908
84,2,130.903,1.000,1.000,-0.05524,0.00000,0.00000,0.804122,ALIVE,12.566370,0.908
85,1,60.100,1.000,1.000,0.05547,0.00000,0.00000,0.804998,ALIVE,12.566370,0.917
85,2,130.900,1.000,1.000,-0.05554,0.00000,0.00000,0.805015,ALIVE,12.566370,0.917
86,1,60.103,1.000,1.000,0.05569,-0.00000,-0.00001,0.805845,ALIVE,12.566370,0.926
86,2,130.897,1.000,1.000,-0.05554,-0.00000,-0.00000,0.805862,ALIVE,12.566370,0.926
87,1,60.105,1.000,1.000,0.05600,0.00000,0.00001,0.806645,ALIVE,12.566370,0.934
87,2,130.895,1.000,1.000,-0.05585,0.00000,-0.00000,0.806664,ALIVE,12.566370,0.934
88,1,60.108,1.000,1.000,0.05623,0.00000,-0.00000,0.807395,ALIVE,12.566370,0.943
88,2,130.892,1.000,1.000,-0.05646,0.00000,0.00001,0.807414,ALIVE,12.566370,0.943
89,1,60.111,1.000,1.000,0.05638,-0.00001,-0.00000,0.808090,ALIVE,12.566370,0.951
89,2,130.889,1.000,1.000,-0.05615,-0.00000,-0.00000,0.808111,ALIVE,12.566370,0.951
90,1,60.114,1.000,1.000,0.05661,0.00000,0.00000,0.808730,ALIVE,12.566370,0.960
90,2,130.886,1.000,1.000,-0.05676,0.00000,0.00000,0.808751,ALIVE,12.566370,0.960
91,1,60.117,1.000,1.000,0.05684,0.00000,0.00000,0.809309,ALIVE,12.566370,0.969
91,2,130.883,1.000,1.000,-0.05676,0.00000,-0.00000,0.809331,ALIVE,12.566370,0.969
