# producer=CAELIX
# when=2026-02-18T18:21:51
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09G_collidersg_transistor_calibration/20260218_182150 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.52,0.0,0.0],"phase":0.0}] --collidersg-steps 1500 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.08 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_182150
# experiment=09G_collidersg_transistor_calibration
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.08
# asset_sg_k=nan
# sg_k_inferred=0
# steps=1500
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=1
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=07a22c1c26c4
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 domain_mask_enabled=1
# vel0_abs_max=1.477914
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s
124,1,67.828,95.500,95.500,1.10428,0.00000,0.00000,1.488039,ALIVE,6.283185,1.044
125,1,67.881,95.500,95.500,1.05789,0.00000,0.00000,1.486427,ALIVE,6.283185,1.051
126,1,67.931,95.500,95.500,1.01166,0.00000,0.00000,1.478148,ALIVE,6.283185,1.058
127,1,67.980,95.500,95.500,0.96756,0.00000,0.00000,1.463492,ALIVE,6.283185,1.065
128,1,68.026,95.500,95.500,0.92590,0.00000,0.00000,1.442827,ALIVE,6.283185,1.072
129,1,68.070,95.500,95.500,0.88760,0.00000,0.00000,1.416602,ALIVE,6.283185,1.079
130,1,68.113,95.500,95.500,0.85266,0.00000,0.00000,1.385346,ALIVE,6.283185,1.086
131,1,68.154,95.500,95.500,0.82077,0.00000,0.00000,1.349660,ALIVE,6.283185,1.093
132,1,68.194,95.500,95.500,0.79178,0.00000,0.00000,1.310218,ALIVE,6.283185,1.099
133,1,68.739,95.500,95.500,10.90637,0.00000,0.00000,1.279714,ALIVE,6.283185,1.106
134,1,68.792,95.500,95.500,1.05896,0.00000,0.00000,1.282327,ALIVE,6.283185,1.114
135,1,68.842,95.500,95.500,0.99106,0.00000,0.00000,1.280432,ALIVE,6.283185,1.120
136,1,68.888,95.500,95.500,0.92209,0.00000,0.00000,1.274304,ALIVE,6.283185,1.127
137,1,68.930,95.500,95.500,0.85403,0.00000,0.00000,1.264235,ALIVE,6.283185,1.134
138,1,68.970,95.500,95.500,0.78812,0.00000,0.00000,1.250534,ALIVE,6.283185,1.141
139,1,69.006,95.500,95.500,0.72556,0.00000,0.00000,1.233522,ALIVE,6.283185,1.148
140,1,69.039,95.500,95.500,0.66711,0.00000,0.00000,1.213538,ALIVE,6.283185,1.155
141,1,69.070,95.500,95.500,0.61356,0.00000,0.00000,1.190940,ALIVE,6.283185,1.161
142,1,69.098,95.500,95.500,0.56503,0.00000,0.00000,1.166107,ALIVE,6.283185,1.168
143,1,69.124,95.500,95.500,0.52155,0.00000,0.00000,1.139440,ALIVE,6.283185,1.175
144,1,69.149,95.500,95.500,0.48233,0.00000,0.00000,1.111369,ALIVE,6.283185,1.182
145,1,69.171,95.500,95.500,0.44724,0.00000,0.00000,1.082344,ALIVE,6.283185,1.188
146,1,69.852,95.500,95.500,13.62488,0.00000,0.00000,1.066606,ALIVE,6.283185,1.196
147,1,69.886,95.500,95.500,0.66803,0.00000,0.00000,1.058823,ALIVE,6.283185,1.202
148,1,69.915,95.500,95.500,0.58929,0.00000,0.00000,1.049464,ALIVE,6.283185,1.209
149,1,69.941,95.500,95.500,0.51331,0.00000,0.00000,1.038771,ALIVE,6.283185,1.217
150,1,69.963,95.500,95.500,0.44159,0.00000,0.00000,1.026965,ALIVE,6.283185,1.224
151,1,69.981,95.500,95.500,0.37506,0.00000,0.00000,1.014254,ALIVE,6.283185,1.231
152,1,69.997,95.500,95.500,0.31479,0.00000,0.00000,1.000835,ALIVE,6.283185,1.239
153,1,70.010,95.500,95.500,0.26108,0.00000,0.00000,0.986906,ALIVE,6.283185,1.246
154,1,70.021,95.500,95.500,0.21439,0.00000,0.00000,0.972667,ALIVE,6.283185,1.253
155,1,70.030,95.500,95.500,0.17487,0.00000,0.00000,0.958326,ALIVE,6.283185,1.260
156,1,70.037,95.500,95.500,0.14206,0.00000,0.00000,0.944105,ALIVE,6.283185,1.267
157,1,70.043,95.500,95.500,0.11597,0.00000,0.00000,0.930237,ALIVE,6.283185,1.275
158,1,70.047,95.500,95.500,0.09521,0.00000,0.00000,0.916962,ALIVE,6.283185,1.282
159,1,70.051,95.500,95.500,0.07980,0.00000,0.00000,0.904530,ALIVE,6.283185,1.289
160,1,70.055,95.500,95.500,0.06805,0.00000,0.00000,0.893186,ALIVE,6.283185,1.296
161,1,70.058,95.500,95.500,0.05966,0.00000,0.00000,0.883169,ALIVE,6.283185,1.304
162,1,70.060,95.500,95.500,0.05341,0.00000,0.00000,0.874696,ALIVE,6.283185,1.311
163,1,70.063,95.500,95.500,0.04868,0.00000,0.00000,0.867957,ALIVE,6.283185,1.318
