# producer=CAELIX
# when=2026-02-18T20:59:13
# cwd=
# python=
# command= /core.py --out _Output/09_sg_collider/09H_collidersg_transistor_tjunction/20260218_205912 --collidersg --collidersg-scenario E --collidersg-sprites [{"sid":1,"kind":"kink_wall","pos":[60,96,96],"vel":[0.52,0.0,0.0],"phase":0.0},{"sid":2,"kind":"kink_wall","pos":[120,60,96],"vel":[0.0,0.0,0.0],"phase":0.0,"track_only":true}] --collidersg-steps 2500 --collidersg-log-every 1 --collidersg-track-r 6 --collidersg-peak-thresh 0.001 --collidersg-phi-abs-every 100 --collidersg-k 0.08 --collidersg-k-outside 5.0 --collidersg-wire-y0 90 --collidersg-wire-y1 102 --collidersg-wire-z0 90 --collidersg-wire-z1 102 --collidersg-wire-bevel 0 --collidersg-wire-geom t_junction --collidersg-junction-x 120 --collidersg-branch-len 48 --collidersg-branch-thick 2 --traffic-mode sine_gordon --collidersg-boundary neumann --n 192 --traffic-iters 1 --traffic-c2 0.31 --traffic-dt 0.05 --traffic-gamma 0.0 --traffic-decay 0.0
# run_id=20260218_205912
# experiment=09H_collidersg_transistor_tjunction
# artefact=collidersg
# n=192
# seed=6174
# traffic_c2=0.31
# traffic_dt=0.05
# traffic_gamma=0.0
# traffic_decay=0.0
# boundary_mode=neumann
# sponge_width=0
# sponge_strength=0.0
# sg_k=0.08
# asset_sg_k=nan
# sg_k_inferred=0
# steps=2500
# log_every=1
# phi_abs_every=100
# track_r=6
# peak_thresh=0.001
# sprite_count=2
# scenario=E
# sprites_src=inline_json
# sprite_asset_h5=
# sg_k_outside=5.0
# wire_y0=90
# wire_y1=102
# wire_z0=90
# wire_z1=102
# wire_bevel=0
# wire_geom=t_junction
# junction_x=120
# branch_len=48
# branch_thick=2
# artefact=sg_collision_tracks
# scenario=E
# sprites_digest=07d70e47f69e
# boundary_mode_eff=neumann sponge_width_eff=0 sponge_strength_eff=0.000000
# k_grid_enabled=1 sg_k_outside=5.000000 wire_geom=t_junction wire_y0=90 wire_y1=102 wire_z0=90 wire_z1=102 wire_bevel=0 junction_x=120 branch_len=48 branch_thick=2 domain_mask_enabled=1
# vel0_abs_max=1.477914
t,sid,x,y,z,vx,vy,vz,peak_abs,status,phi_abs_max,wall_s,in_trunk,in_branch_pos,in_branch_neg,in_branch,dy_from_trunk_c
48,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.558,0,0,1,1,-35.500
49,1,64.120,96.000,96.000,0.24582,0.00000,0.00000,0.954595,ALIVE,6.283185,0.566,1,0,0,0,0.500
49,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.566,0,0,1,1,-35.500
50,1,64.125,96.000,96.000,0.09552,0.00000,0.00000,0.921823,ALIVE,6.283185,0.574,1,0,0,0,0.500
50,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.574,0,0,1,1,-35.500
51,1,64.803,96.000,96.000,13.54996,0.00000,0.00000,0.909205,ALIVE,6.283185,0.582,1,0,0,0,0.500
51,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.582,0,0,1,1,-35.500
52,1,64.850,96.000,96.000,0.95322,0.00000,0.00000,0.909767,ALIVE,6.283185,0.590,1,0,0,0,0.500
52,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.590,0,0,1,1,-35.500
53,1,64.892,96.000,96.000,0.83771,0.00000,0.00000,0.906047,ALIVE,6.283185,0.597,1,0,0,0,0.500
53,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.597,0,0,1,1,-35.500
54,1,64.927,96.000,96.000,0.70465,0.00000,0.00000,0.898175,ALIVE,6.283185,0.605,1,0,0,0,0.500
54,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.605,0,0,1,1,-35.500
55,1,64.955,96.000,96.000,0.55740,0.00000,0.00000,0.886341,ALIVE,6.283185,0.613,1,0,0,0,0.500
55,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.613,0,0,1,1,-35.500
56,1,64.975,96.000,96.000,0.39978,0.00000,0.00000,0.870796,ALIVE,6.283185,0.621,1,0,0,0,0.500
56,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.621,0,0,1,1,-35.500
57,1,62.121,96.000,96.000,-57.09366,0.00000,0.00000,0.876426,ALIVE,6.283185,0.629,1,0,0,0,0.500
57,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.629,0,0,1,1,-35.500
58,1,62.112,96.000,96.000,-0.17410,0.00000,0.00000,0.903300,ALIVE,6.283185,0.637,1,0,0,0,0.500
58,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.637,0,0,1,1,-35.500
59,1,62.110,96.000,96.000,-0.04677,0.00000,0.00000,0.922038,ALIVE,6.283185,0.645,1,0,0,0,0.500
59,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.645,0,0,1,1,-35.500
60,1,62.114,96.000,96.000,0.08713,0.00000,0.00000,0.932280,ALIVE,6.283185,0.653,1,0,0,0,0.500
60,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.653,0,0,1,1,-35.500
61,1,62.125,96.000,96.000,0.22339,0.00000,0.00000,0.934041,ALIVE,6.283185,0.660,1,0,0,0,0.500
61,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.660,0,0,1,1,-35.500
62,1,62.143,96.000,96.000,0.35728,0.00000,0.00000,0.927706,ALIVE,6.283185,0.668,1,0,0,0,0.500
62,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.668,0,0,1,1,-35.500
63,1,62.167,96.000,96.000,0.48508,0.00000,0.00000,0.914002,ALIVE,6.283185,0.676,1,0,0,0,0.500
63,2,121.000,60.000,96.000,0.00000,0.00000,0.00000,6.283185,ALIVE,6.283185,0.676,0,0,1,1,-35.500
