# producer=CAELIX
# when=2026-02-11T23:28:42
# cwd=
# python=
# command= /core.py --out _Output/02_interference/02A_double_slit_single_slit_control/20260211_232841 --double-slit --ds-single-slit --ds-source sine --ds-omega 0.80 --ds-gun-speed 0.0 --ds-burn 600 --ds-window 200 --ds-sample-every 4 --ds-amp 1000.0 --traffic-mode telegraph --traffic-gamma 0.0001 --traffic-boundary sponge --traffic-sponge-width 32 --traffic-sponge-strength 1.0 --n 512 --ds-wall-x 256 --ds-detector-x 470 --ds-gun-stop 246 --ds-steps 5000 --ds-slit-width 8 --ds-sample-every 1
# run_id=20260211_232841
# experiment=02A_double_slit_single_slit_control
# artefact=double_slit
# n=512
# ds_steps=5000
# seed=6174
# lattice_init=sparse
# traffic_mode=telegraph
# traffic_c2=0.25
# traffic_gamma=0.0001
# traffic_dt=1.0
# traffic_decay=0.0
# double-slit
# n=512 steps=5000 wall_x=256 detector_x=470 cz=256 cy=256
# slits: slit_sep=16 slit_width=8 single_slit=1 y1=[252:260] y2=[0:0] z=[0:512)
# detector: line_y at x=470, z=256; intensity=phi^2
# detector_y=[32:480) boundary=sponge sponge_width=32 sponge_strength=1
# gun: start=10 stop=246 speed=0
# src: mode=sine amp=1000 omega=0.8 half_period=0
# chirality: select=0 field=none
# sampling: burn=600 sample_every=1 samples=4400 window=200
# dump_samples=0
# section:pattern_mean
y,y_off,intensity,intensity_norm
272,16,5.67730260822e-12,0.00601845739221
273,17,5.6568394294e-12,0.00599676456054
274,18,5.63552279513e-12,0.00597416698843
275,19,5.61309680388e-12,0.00595039339697
276,20,5.58968298645e-12,0.00592557261986
277,21,5.56562647896e-12,0.00590007053281
278,22,5.5408520932e-12,0.00587380742946
279,23,5.51525252658e-12,0.00584666955932
280,24,5.48900721388e-12,0.00581884713957
281,25,5.46223575192e-12,0.00579046695372
282,26,5.43483827277e-12,0.00576142313268
283,27,5.40680182881e-12,0.0057317019508
284,28,5.37806860716e-12,0.00570124212116
285,29,5.34847202169e-12,0.00566986704731
286,30,5.31796325253e-12,0.00563752497575
287,31,5.28643049001e-12,0.00560409737803
288,32,5.2535004723e-12,0.00556918856266
289,33,5.21897745604e-12,0.00553259102388
290,34,5.18297474163e-12,0.0054944248704
291,35,5.14532173805e-12,0.00545450926023
292,36,5.10573403499e-12,0.00541254269256
293,37,5.06441928994e-12,0.00536874530321
294,38,5.02182764961e-12,0.00532359428867
295,39,4.97804903888e-12,0.0052771849775
296,40,4.93322597847e-12,0.00522966845463
297,41,4.88792793033e-12,0.00518164840153
298,42,4.8427188328e-12,0.00513372264417
299,43,4.79772859014e-12,0.00508602889291
300,44,4.75294234633e-12,0.00503855139898
301,45,4.70845291721e-12,0.00499138855562
302,46,4.66413656184e-12,0.0049444091862
303,47,4.61944573764e-12,0.00489703284574
304,48,4.57371842878e-12,0.00484855773721
305,49,4.52647969185e-12,0.0047984803774
306,50,4.47729103637e-12,0.00474633592648
307,51,4.4259021623e-12,0.00469185904364
308,52,4.37243335948e-12,0.00463517724706
309,53,4.31725524525e-12,0.00457668342484
310,54,4.26103537744e-12,0.00451708524902
311,55,4.20480948168e-12,0.00445748068303
312,56,4.14933042872e-12,0.00439866783837
313,57,4.09475815529e-12,0.00434081626252
314,58,4.04119559431e-12,0.00428403507375
315,59,3.98837884118e-12,0.00422804450918
316,60,3.93523955397e-12,0.00417171202913
317,61,3.8806448116e-12,0.00411383663416
318,62,3.8239631482e-12,0.004053748913
319,63,3.76481134315e-12,0.0039910426169
320,64,3.7034864867e-12,0.00392603268858
321,65,3.64110013293e-12,0.00385989747651
322,66,3.5787543589e-12,0.00379380528265
323,67,3.51745314186e-12,0.00372882041425
324,68,3.4579773382e-12,0.00366577065014
325,69,3.40001999901e-12,0.00360433059655
326,70,3.34230773703e-12,0.00354315034712
327,71,3.28356495754e-12,0.00348087765533
328,72,3.2227464403e-12,0.00341640449265
329,73,3.15945221299e-12,0.003349306852
330,74,3.09443970134e-12,0.0032803876736
331,75,3.02909810741e-12,0.00321111963802
332,76,2.9648938614e-12,0.00314305729475
333,77,2.90286998337e-12,0.00307730633994
334,78,2.84285087855e-12,0.00301368062717
335,79,2.78345418834e-12,0.00295071473052
336,80,2.72296066284e-12,0.00288658608866
337,81,2.6602297281e-12,0.0028200855894
338,82,2.59540286303e-12,0.00275136321325
